#,Name   ,Type   ,Special,Power,Accuracy,PP   
154,Fury Swipes,Normal,False,18,80%,15.0
155,Bonemerang,Ground,False,50,90%,10.0
156,Rest,Psychic,False,0,,10.0
157,Rock Slide,Rock,False,75,90%,10.0
158,Hyper Fang,Normal,False,80,90%,15.0
159,Sharpen,Normal,False,0,,30.0
160,Conversion,Normal,False,0,,30.0
161,Tri Attack,Normal,True,80,100%,10.0
162,Super Fang,Normal,False,50,90%,10.0
163,Slash,Normal,False,70,100%,20.0
164,Substitute,Normal,False,0,,10.0
165,Struggle,Typeless,False,50,100%,1.0
166,Sketch,Normal,False,0,,1.0
167,Triple Kick,Fighting,False,10,90%,10.0
168,Thief,Dark,False,40,100%,10.0
169,Spider Web,Bug,False,0,100%,10.0
170,Mind Reader,Normal,False,0,100%,5.0
171,Nightmare,Ghost,False,0,100%,15.0
172,Flame Wheel,Fire,False,60,100%,25.0
173,Snore,Normal,True,40,100%,15.0
174,Curse,Ghost,False,0,,10.0
175,Flail,Normal,False,50,100%,15.0
176,Conversion 2,Normal,False,0,100%,30.0
177,Aeroblast,Flying,True,100,95%,5.0
178,Cotton Spore,Grass,False,0,100%,40.0
179,Reversal,Fighting,False,50,100%,15.0
180,Spite,Ghost,False,0,100%,10.0
181,Powder Snow,Ice,True,40,100%,25.0
182,Protect,Normal,False,0,,10.0
183,Mach Punch,Fighting,False,40,100%,30.0
184,Scary Face,Normal,False,0,90%,10.0
185,Faint Attack,Dark,False,60,101%,20.0
186,Sweet Kiss,Normal,False,0,75%,10.0
187,Belly Drum,Normal,False,0,,10.0
188,Sludge Bomb,Poison,True,90,100%,10.0
189,Mud-Slap,Ground,True,20,100%,10.0
190,Octazooka,Water,True,65,85%,10.0
191,Spikes,Ground,False,0,,20.0
192,Zap Cannon,Electric,True,120,50%,5.0
193,Foresight,Normal,False,0,100%,40.0
194,Destiny Bond,Ghost,False,0,,5.0
195,Perish Song,Normal,False,0,,5.0
196,Icy Wind,Ice,True,55,95%,15.0
197,Detect,Fighting,False,0,,5.0
198,Bone Rush,Ground,False,25,80%,10.0
199,Lock-On,Normal,False,0,100%,5.0
200,Outrage,Dragon,False,120,100%,15.0
201,Sandstorm,Rock,False,0,,10.0
202,Giga Drain,Grass,True,75,100%,10.0
203,Endure,Normal,False,0,,10.0
204,Charm,Normal,False,0,100%,20.0
205,Rollout,Rock,False,30,90%,20.0
206,False Swipe,Normal,False,40,100%,40.0
207,Swagger,Normal,False,0,90%,15.0
208,Milk Drink,Normal,False,0,,10.0
209,Spark,Electric,False,65,100%,20.0
210,Fury Cutter,Bug,False,20,95%,20.0
211,Steel Wing,Steel,False,70,90%,25.0
212,Mean Look,Normal,False,0,100%,5.0
213,Attract,Normal,False,0,100%,15.0
214,Sleep Talk,Normal,False,0,,10.0
215,Heal Bell,Normal,False,0,,5.0
216,Return,Normal,False,50,100%,20.0
217,Present,Normal,False,50,90%,15.0
218,Frustration,Normal,False,50,100%,20.0
219,Safeguard,Normal,False,0,,25.0
220,Pain Split,Normal,False,0,100%,20.0
221,Sacred Fire,Fire,False,100,95%,5.0
222,Magnitude,Ground,False,50,100%,30.0
223,DynamicPunch,Fighting,False,100,50%,5.0
224,Megahorn,Bug,False,120,85%,10.0
225,DragonBreath,Dragon,True,60,100%,20.0
226,Baton Pass,Normal,False,0,,40.0
227,Encore,Normal,False,0,100%,5.0
228,Pursuit,Dark,False,80,100%,20.0
229,Rapid Spin,Normal,False,20,100%,40.0
230,Sweet Scent,Normal,False,0,100%,20.0
231,Iron Tail,Steel,False,100,75%,15.0
232,Metal Claw,Steel,False,50,95%,35.0
233,Vital Throw,Fighting,False,70,100%,10.0
234,Morning Sun,Normal,False,0,,5.0
235,Synthesis,Grass,False,0,,5.0
236,Moonlight,Normal,False,0,,5.0
237,Hidden Power,Normal,True,70,100%,15.0
238,Cross Chop,Fighting,False,100,80%,5.0
239,Twister,Dragon,True,40,100%,20.0
240,Rain Dance,Water,False,0,,5.0
241,Sunny Day,Fire,False,0,,5.0
242,Crunch,Dark,False,80,100%,15.0
243,Mirror Coat,Psychic,True,50,100%,20.0
244,Psych Up,Normal,False,0,,10.0
245,ExtremeSpeed,Normal,False,80,100%,5.0
246,AncientPower,Rock,True,60,100%,5.0
247,Shadow Ball,Ghost,True,80,100%,15.0
248,Future Sight,Psychic,True,100,100%,10.0
249,Rock Smash,Fighting,False,40,100%,15.0
250,Whirlpool,Water,True,35,85%,15.0
251,Beat Up,Dark,False,50,100%,10.0
252,Fake Out,Normal,False,40,100%,10.0
253,Uproar,Normal,True,90,100%,10.0
254,Stockpile,Normal,False,0,,20.0
255,Spit Up,Normal,True,50,100%,10.0
256,Swallow,Normal,False,0,,10.0
257,Heat Wave,Fire,True,100,90%,10.0
258,Hail,Ice,False,0,,10.0
259,Torment,Dark,False,0,100%,15.0
260,Flatter,Dark,False,0,100%,15.0
261,Will-O-Wisp,Fire,False,0,75%,15.0
262,Memento,Dark,False,0,100%,10.0
263,Facade,Normal,False,50,100%,20.0
264,Focus Punch,Fighting,False,150,100%,20.0
265,SmellingSalt,Normal,False,60,100%,10.0
266,Follow Me,Normal,False,0,100%,20.0
267,Nature Power,Normal,False,50,95%,20.0
267,Nature Power (Wifi),Ground,False,100,95%,20.0
268,Charge,Electric,False,0,100%,20.0
269,Taunt,Dark,False,0,100%,20.0
270,Helping Hand,Normal,False,0,100%,20.0
271,Trick,Psychic,False,0,100%,10.0
272,Role Play,Psychic,False,0,100%,10.0
273,Wish,Normal,False,0,100%,10.0
274,Assist,Normal,False,0,100%,20.0
275,Ingrain,Grass,False,0,100%,20.0
276,Superpower,Fighting,False,120,100%,5.0
277,Magic Coat,Psychic,False,0,100%,15.0
278,Recycle,Normal,False,0,100%,10.0
279,Revenge,Fighting,False,60,100%,10.0
280,Brick Break,Fighting,False,75,100%,15.0
281,Yawn,Normal,False,0,100%,10.0
282,Knock Off,Dark,False,20,100%,20.0
283,Endeavor,Normal,False,50,100%,5.0
284,Eruption,Fire,True,50,100%,5.0
285,Skill Swap,Psychic,False,0,100%,10.0
286,Imprison,Psychic,False,0,100%,10.0
287,Refresh,Normal,False,0,100%,20.0
288,Grudge,Ghost,False,0,100%,5.0
289,Snatch,Dark,False,0,100%,10.0
290,Secret Power,Normal,False,70,100%,20.0
291,Dive,Water,False,80,100%,10.0
292,Arm Thrust,Fighting,False,15,100%,20.0
293,Camouflage,Normal,False,0,100%,20.0
294,Tail Glow,Bug,False,0,100%,20.0
295,Luster Purge,Psychic,True,70,100%,5.0
296,Mist Ball,Psychic,True,70,100%,5.0
297,FeatherDance,Flying,False,0,100%,15.0
298,Teeter Dance,Normal,False,0,100%,20.0
299,Blaze Kick,Fire,False,85,90%,10.0
300,Mud Sport,Ground,False,0,100%,15.0
301,Ice Ball,Ice,False,30,90%,20.0
302,Needle Arm,Grass,False,60,100%,15.0
303,Slack Off,Normal,False,0,100%,10.0
304,Hyper Voice,Normal,True,90,100%,10.0
305,Poison Fang,Poison,False,50,100%,15.0
306,Crush Claw,Normal,False,75,95%,10.0
307,Blast Burn,Fire,True,150,90%,5.0
308,Hydro Cannon,Water,True,150,90%,5.0
309,Meteor Mash,Steel,False,100,85%,10.0
310,Astonish,Ghost,False,30,100%,15.0
311,Weather Ball,Normal,True,50,100%,10.0
312,Aromatherapy,Grass,False,0,,5.0
313,Fake Tears,Dark,False,0,100%,20.0
314,Air Cutter,Flying,True,55,95%,25.0
315,Overheat,Fire,True,140,90%,5.0
316,Odor Sleuth,Normal,False,0,100%,40.0
317,Rock Tomb,Rock,False,50,80%,10.0
318,Silver Wind,Bug,True,60,100%,5.0
319,Metal Sound,Steel,False,0,85%,40.0
320,GrassWhistle,Grass,False,0,55%,15.0
321,Tickle,Normal,False,0,100%,20.0
322,Cosmic Power,Psychic,False,0,,20.0
323,Water Spout,Water,True,50,100%,5.0
324,Signal Beam,Bug,True,75,100%,15.0
325,Shadow Punch,Ghost,False,60,101%,20.0
326,Extrasensory,Psychic,True,80,100%,30.0
327,Sky Uppercut,Fighting,False,85,90%,15.0
328,Sand Tomb,Ground,False,35,85%,15.0
329,Sheer Cold,Ice,True,0,30%,5.0
330,Muddy Water,Water,True,95,85%,10.0
331,Bullet Seed,Grass,False,25,100%,30.0
332,Aerial Ace,Flying,False,60,101%,20.0
333,Icicle Spear,Ice,False,25,100%,30.0
334,Iron Defense,Steel,False,0,,15.0
335,Block,Normal,False,0,100%,5.0
336,Howl,Normal,False,0,,40.0
337,Dragon Claw,Dragon,False,80,100%,15.0
338,Frenzy Plant,Grass,True,150,90%,5.0
339,Bulk Up,Fighting,False,0,,20.0
340,Bounce,Flying,False,85,85%,5.0
341,Mud Shot,Ground,True,55,95%,15.0
342,Poison Tail,Poison,False,50,100%,25.0
343,Covet,Normal,False,60,100%,40.0
344,Volt Tackle,Electric,False,120,100%,15.0
345,Magical Leaf,Grass,True,60,101%,20.0
346,Water Sport,Water,False,0,100%,15.0
347,Calm Mind,Psychic,False,0,,20.0
348,Leaf Blade,Grass,False,90,100%,15.0
349,Dragon Dance,Dragon,False,0,,20.0
350,Rock Blast,Rock,False,25,90%,10.0
351,Shock Wave,Electric,True,60,101%,20.0
352,Water Pulse,Water,True,60,100%,20.0
353,Doom Desire,Steel,True,140,100%,5.0
354,Psycho Boost,Psychic,Special,140,,
